NBHD_NAME,TTL_POPULATION_ALL,HISPANIC_OR_LATINO,WHITE,BLACK,NATIVE_AMERICAN,ASIAN,HAWAIIAN_PI,OTHER_RACE,TWO_OR_MORE,PCT_HISPANIC,PCT_WHITE,PCT_BLACK,PCT_NATIVEAM,PCT_ASIAN,PCT_HAWAIIANPI,PCT_OTHERRACE,PCT_TWOORMORE_RACES,MALE,FEMALE,AGE_LESS_5,AGE_5_TO_9,AGE_10_TO_14,AGE_15_TO_17,AGE_0_TO_9,AGE_10_TO_19,AGE_20_TO_29,AGE_30_TO_39,AGE_40_TO_49,AGE_50_TO_59,AGE_60_TO_69,AGE_70_TO_79,AGE_80_PLUS,AGELESS18,AGE65PLUS,PCT_AGELESS18,PCT_AGE65PLUS,MEDIAN_AGE_ALL,MEDIAN_AGE_MALE,MEDIAN_AGE_FEMALE,TTL_AGE_3_PLUS_ENRSTATUS,ENROLLED_IN_SCHOOL,NURSERY_OR_PRESCHOOL,KINDERGARTEN,GRADES_5_TO_8,GRADES_9_TO_12,COLLEGE_UNDERGRADUATE,GRADUATE_SCHOOL,NOT_ENROLLED,TOTAL_COMMUTERS,COMMUTE_LESS_15,COMMUTE_15_TO_30,COMMUTE_30_TO_45,COMMUTE_45_TO_60,COMMUTE_60_PLUS,TTLPOP_25PLUS_EDU,LESS_THAN_HS_DIPLOMA_EDU,HSGRAD_OR_EQUIV_EDU,SOMECOLLEGE_OR_AA_EDU,BACHELORS_OR_HIGHER_EDU,TTLPOP_5PLUS_LNG,ONLY_ENGLISH_LNG,SPANISH_LNG,FRENCH_LNG,FRENCH_CREOLE_LNG,ITALIAN_LNG,PORTUGESE_LNG,GERMAN_LNG,YIDDISH_LNG,OTHER_W_GERMAN_LNG,SCANDINAVIAN_LNG,GREEK_LNG,RUSSIAN_LNG,POLISH_LNG,SERBO_CROATIAN_LNG,OTHER_SLAVIC_LNG,ARMENIAN_LNG,PERSIAN_LNG,GUJARATI_LNG,HINDI_LNG,URDU_LNG,OTHER_INDIC_LNG,OTHER_INDO_EUR_LNG,CHINESE_LNG,JAPANESE_LNG,KOREAN_LNG,MON_KHMR_CMBDN_LNG,HMONG_LNG,THAI_LNG,LAOTIAN_LNG,VIETNAMESE_LNG,OTHER_ASIAN_LNG,TAGALOG_LNG,OTHER_PACIS_LNG,NAVAJO_LNG,OTHER_NATAM_LNG,HUNGARIAN_LNG,ARABIC_LNG,HEBREW_LNG,AFRICAN_ALL_LNG,ALL_OTHER_LNG,TTL_HOUSING_UNITS,OCCUPIED_HU,VACANT_HU,OWNER_OCCUPIED_HU,RENTER_OCCUPIED_HU,TTL_HOUSEHOLDS,FAMILY_HOUSEHOLDS,MARRIED_COUPLE_FAMILY,OTHER_FAMILY,MALE_HHLDR_NO_WIFE_PRESENT,FEMALE_HHLDR_NO_HSBND_PRESENT,NONFAMILY_HOUSEHOLD,HOUSEHOLDER_ALONE,HOUSEHOLDER_NOT_ALONE,HH_INC_LESS_10000,HH_INC_10000_14999,HH_INC_15000_19999,HH_INC_20000_24999,HH_INC_25000_29999,HH_INC_30000_34999,HH_INC_35000_39999,HH_INC_40000_44999,HH_INC_45000_49999,HH_INC_50000_59999,HH_INC_60000_74999,HH_INC_75000_99999,HH_INC_100000_124999,HH_INC_125000_149999,HH_INC_150000_199999,HH_INC_OVER_200000,MED_HH_INCOME,MED_FAMILY_INCOME,PER_CAPITA_INCOME,AVG_HH_INC,AVG_FAM_INCOME,MEDIAN_EARNINGS,MEDIAN_EARN_MALE,MEDIAN_EARN_FEMALE,MEDEARN_LESSHS,MEDEARN_HIGHSCHOOL,MEDEARN_SOMECOLLEGE,MEDEARN_BACHELORS,MEDEARN_GRAD_PROFESSIONAL,MED_YR_STRUCTURE_BUILT,BUILT_2010_OR_LATER,BUILT_2000_2009,BUILT_1990_1999,BUILT_1980_1989,BUILT_1970_1979,BUILT_1960_1969,BUILT_1950_1959,BUILT_1940_1949,BUILT_1939_OR_EARLIER,MED_CONTRACT_RENT,MED_GROSS_RENT,MEDIAN_HOME_VALUE,NATIVE_BORN,FOREIGN_BORN_FB,EUROPE_FB,NORTHERN_EUROPE_FB,WESTERN_EUROPE_FB,SOUTHERN_EUROPE_FB,EASTERN_EUROPE_FB,ASIA_FB,EASTERN_ASIA_FB,SOUTH_CENTRAL_ASIA_FB,SOUTH_EASTERN_ASIA_FB,WESTERN_ASIA_FB,AFRICA_FB,EASTERN_AFRICA_FB,MIDDLE_AFRICA_FB,NORTHERN_AFRICA_FB,SOUTHERN_AFRICA_FB,WESTERN_AFRICA_FB,OCEANIA_FB,AMERICAS_FB,LATIN_AMERICA_FB,CARRIBEAN_FB,CENTRAL_AMERICA_FB,SOUTH_AMERICA_FB,NORTH_AMERICA_FB,PCT_POVERTY,PCT_FAM_POVERTY
Chaffee Park,4045.0,2343.0,1506.0,59.0,0.0,29.0,0.0,0.0,108.0,57.92,37.230000000000004,1.46,0.0,0.72,0.0,0.0,2.67,2001.0,2044.0,259.0,240.0,254.0,96.0,499.0,444.0,513.0,735.0,512.0,556.0,406.0,172.0,171.0,849.0,469.0,849.0,11.59,36.2,32.8,38.1,3851.0,801.0,55.0,66.0,232.0,134.0,141.0,23.0,3050.0,2004.0,588.0,914.0,349.0,90.0,63.0,2917.0,715.0,738.0,741.0,723.0,3786.0,2379.0,1361.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1531.0,1531.0,49.0,1128.0,403.0,1531.0,865.0,658.0,207.0,81.0,126.0,666.0,537.0,129.0,119.0,112.0,90.0,62.0,19.0,79.0,151.0,77.0,102.0,71.0,160.0,222.0,136.0,56.0,44.0,31.0,47969.0,61932.0,19447.420000000002,61639.520000000004,69084.16,34114.0,35464.0,30700.0,25964.0,26950.0,35094.0,45469.0,62019.0,1948.0,15.0,22.0,61.0,7.0,78.0,54.0,377.0,829.0,137.0,978.0,1109.0,194600.0,3264.0,781.0,12.0,12.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,729.0,729.0,0.0,697.0,32.0,0.0,10.3,9.0
Sunnyside,9832.0,4910.0,4225.0,276.0,172.0,129.0,28.0,2.0,90.0,50.5,42.24,3.0300000000000002,1.8,1.2,0.29,0.02,0.93,4981.0,4851.0,619.0,514.0,541.0,298.0,1133.0,986.0,1504.0,150.0,1186.0,1191.0,671.0,689.0,185.0,1972.0,1111.0,1972.0,10.97,34.53,33.77,35.53,9435.0,2108.0,221.0,140.0,419.0,367.0,405.0,201.0,7327.0,4685.0,1240.0,2028.0,803.0,249.0,365.0,7213.0,1549.0,1714.0,1487.0,2463.0,9213.0,6636.0,2302.0,26.0,0.0,55.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,36.0,20.0,0.0,0.0,0.0,29.0,2.0,0.0,0.0,8.0,22.0,8.0,17.0,0.0,0.0,71.0,4040.0,4040.0,171.0,2282.0,1758.0,4040.0,2425.0,1453.0,972.0,213.0,759.0,1615.0,1142.0,473.0,515.0,188.0,185.0,261.0,167.0,175.0,243.0,139.0,140.0,300.0,318.0,600.0,355.0,192.0,155.0,107.0,49574.67,50689.33,20623.15,64020.6,68421.61,34037.33,35848.33,32520.0,0.0,0.0,0.0,0.0,0.0,1944.0,70.0,65.0,115.0,93.0,209.0,273.0,817.0,463.0,2106.0,673.67,771.6700000000001,277100.0,8727.0,1105.0,94.0,12.0,0.0,44.0,38.0,84.0,9.0,11.0,47.0,17.0,26.0,16.0,0.0,0.0,0.0,10.0,0.0,901.0,901.0,7.0,873.0,21.0,0.0,20.6,17.63
Highland,8991.0,2444.0,5890.0,331.0,29.0,213.0,0.0,0.0,84.0,28.21,64.09,3.92,0.33,2.45,0.0,0.0,1.01,4394.0,4597.0,544.0,351.0,349.0,170.0,895.0,669.0,1997.0,1203.0,1461.0,825.0,451.0,293.0,312.0,1414.0,850.0,1414.0,8.72,32.85,33.5,31.85,8645.0,1672.0,135.0,81.0,199.0,342.0,394.0,246.0,6973.0,5080.0,1348.0,1954.0,1296.0,257.0,225.0,6917.0,760.0,742.0,1283.0,4132.0,8447.0,6762.0,1426.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,8.0,16,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,20.0,0.0,44.0,13.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,17.0,4560.0,4560.0,409.0,2132.0,2428.0,4560.0,1600.0,1064.0,536.0,173.0,363.0,2960.0,2168.0,792.0,402.0,236.0,189.0,204.0,159.0,95.0,110.0,263.0,152.0,190.0,527.0,529.0,419.0,246.0,438.0,398.0,67760.5,95394.5,26129.55,93792.3,117140.8,44675.5,47363.0,41872.0,0.0,0.0,0.0,0.0,0.0,1959.5,397.0,792.0,267.0,247.0,311.0,279.0,380.0,201.0,2095.0,1215.5,1312.5,379300.0,7900.0,1091.0,174.0,22.0,23.0,30.0,99.0,219.0,77.0,24.0,88.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,690.0,650.0,0.0,606.0,44.0,40.0,14.950000000000001,12.8
Globeville,3551.0,2178.0,1159.0,116.0,12.0,0.0,15.0,6.0,65.0,61.33,32.64,3.27,0.34,0.0,0.42,0.17,1.83,2050.0,1501.0,253.0,288.0,202.0,104.0,541.0,505.0,684.0,6274.0,217.0,424.0,252.0,106.0,59.0,847.0,241.0,847.0,6.79,30.3,30.2,30.400000000000002,3438.0,1092.0,37.0,93.0,192.0,95.0,406.0,36.0,2346.0,1405.0,386.0,540.0,251.0,54.0,174.0,2161.0,636.0,692.0,459.0,374.0,3298.0,1889.0,1366.0,17.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,8.0,14.0,1071.0,1071.0,122.0,387.0,684.0,1071.0,585.0,333.0,252.0,99.0,153.0,486.0,377.0,109.0,208.0,108.0,80.0,70.0,77.0,48.0,78.0,40.0,11.0,80.0,93.0,100.0,47.0,24.0,7.0,0.0,29639.0,46023.0,14350.970000000001,40210.08,50225.47,22006.0,25299.0,18715.0,22583.0,25995.0,28090.0,24167.0,27083.0,1944.0,50.0,219.0,14.0,21.0,72.0,98.0,33.0,144.0,542.0,757.0,919.0,131900.0,2785.0,766.0,32.0,0.0,17.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,21.0,705.0,705.0,13.0,680.0,12.0,0.0,34.6,25.3
Jefferson Park,2827.0,1454.0,1114.0,138.0,51.0,35.0,0.0,0.0,35.0,51.43,39.410000000000004,4.88,1.8,1.24,0.0,0.0,1.24,1652.0,1175.0,181.0,149.0,71.0,89.0,330.0,185.0,686.0,614.0,399.0,249.0,73.0,38.0,22.0,490.0,97.0,490.0,3.43,31.5,30.900000000000002,31.8,2730.0,524.0,22.0,8.0,42.0,115.0,115.0,107.0,2206.0,1659.0,411.0,666.0,385.0,99.0,98.0,2061.0,726.0,265.0,296.0,774.0,2646.0,1313.0,1260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,9.0,29.0,1418.0,1418.0,118.0,412.0,1006.0,1418.0,516.0,355.0,161.0,77.0,84.0,902.0,668.0,234.0,139.0,130.0,91.0,60.0,75.0,113.0,81.0,73.0,80.0,165.0,81.0,84.0,67.0,61.0,67.0,52.0,40819.0,46250.0,15539.62,69223.41,62005.04,25812.0,25698.0,26379.0,0.0,0.0,0.0,0.0,0.0,1974.0,158.0,416.0,9.0,80.0,166.0,71.0,169.0,24.0,443.0,707.0,804.0,294000.0,1904.0,923.0,25.0,11.0,0.0,0.0,14.0,5.0,0.0,0.0,5.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,884.0,884.0,0.0,879.0,5.0,0.0,27.6,24.2
Sun Valley,1438.0,656.0,223.0,380.0,16.0,92.0,0.0,11.0,60.0,45.62,15.51,26.43,1.11,6.4,0.0,0.76,4.17,707.0,731.0,268.0,218.0,194.0,52.0,486.0,320.0,225.0,5105.0,88.0,40.0,99.0,5.0,25.0,732.0,79.0,732.0,5.49,17.6,12.4,25.0,1295.0,675.0,93.0,53.0,128.0,136.0,74.0,31.0,620.0,204.0,18.0,122.0,25.0,22.0,17.0,534.0,275.0,145.0,89.0,25.0,1170.0,752.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,17.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,65.0,158.0,475.0,475.0,24.0,20.0,455.0,475.0,334.0,47.0,287.0,24.0,263.0,141.0,125.0,16.0,245.0,35.0,86.0,50.0,18.0,36.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9849.0,11667.0,3680.7400000000002,13163.16,12602.4,10565.0,14464.0,6979.0,0.0,0.0,0.0,0.0,0.0,1956.0,0.0,0.0,60.0,15.0,57.0,44.0,164.0,88.0,71.0,218.0,224.0,137500.0,1138.0,300.0,1.0,0.0,0.0,0.0,1.0,179.0,0.0,16.0,86.0,77.0,76.0,51.0,25.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,44.0,0.0,0.0,86.5,81.10000000000001
Valverde,3750.0,2906.0,423.0,113.0,19.0,251.0,0.0,28.0,10.0,77.49,11.28,3.0100000000000002,0.51,6.69,0.0,0.75,0.27,1887.0,1863.0,446.0,405.0,280.0,187.0,851.0,580.0,379.0,1254.0,696.0,385.0,181.0,162.0,45.0,1318.0,244.0,1318.0,6.51,31.5,31.6,31.3,3572.0,1167.0,122.0,136.0,127.0,308.0,91.0,11.0,2405.0,1380.0,136.0,504.0,588.0,79.0,73.0,2089.0,869.0,578.0,382.0,260.0,3304.0,1175.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,63.0,63.0,1165.0,1165.0,94.0,506.0,659.0,1165.0,802.0,481.0,321.0,52.0,269.0,363.0,333.0,30.0,195.0,130.0,98.0,89.0,97.0,44.0,74.0,79.0,41.0,126.0,69.0,91.0,5.0,0.0,16.0,10.0,27176.0,31591.0,15553.84,37229.53,39884.91,22939.0,24738.0,19746.0,0.0,0.0,0.0,0.0,0.0,1954.0,0.0,11.0,7.0,40.0,51.0,135.0,597.0,246.0,172.0,619.0,724.0,157900.0,2409.0,1341.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,199.0,0.0,78.0,21.0,0.0,0.0,0.0,57.0,0.0,1064.0,1064.0,19.0,1010.0,35.0,0.0,30.1,33.8
Athmar Park,8659.0,6297.0,1794.0,77.0,44.0,331.0,7.0,7.0,102.0,72.68,20.95,0.9,0.55,3.5700000000000003,0.08,0.08,1.21,4701.0,3958.0,658.0,648.0,536.0,399.0,1306.0,1053.0,1582.0,1288.0,1243.0,1051.0,671.0,249.0,216.0,2241.0,685.0,2241.0,7.7700000000000005,32.45,29.85,35.1,8280.0,2003.0,107.0,224.0,422.0,397.0,295.0,68.0,6277.0,4349.0,898.0,1723.0,1341.0,147.0,240.0,5738.0,1876.0,1635.0,1396.0,831.0,8001.0,3461.0,4187.0,12.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,35.0,0.0,0.0,0.0,218.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,11.0,2937.0,2937.0,118.0,1785.0,1152.0,2937.0,1892.0,1150.0,742.0,225.0,517.0,1045.0,787.0,258.0,220.0,140.0,174.0,188.0,127.0,232.0,203.0,127.0,102.0,431.0,367.0,281.0,149.0,89.0,101.0,9.0,47578.5,49606.0,19132.100000000002,53695.48,56924.43,26902.5,28898.5,22121.5,21441.0,29683.0,34161.0,47708.0,30375.0,1955.0,0.0,31.0,76.0,58.0,382.0,220.0,1643.0,469.0,176.0,900.5,1009.0,154100.0,5895.0,2684.0,11.0,4.0,7.0,0.0,0.0,301.0,24.0,19.0,235.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2452.0,2452.0,13.0,2438.0,1.0,0.0,17.45,15.700000000000001
Northeast Park Hill,9086.0,2723.0,1806.0,3813.0,109.0,92.0,28.0,15.0,500.0,29.990000000000002,19.88,41.94,1.21,1.01,0.31,0.17,5.51,4475.0,4611.0,852.0,759.0,573.0,363.0,1611.0,1141.0,1326.0,2131.0,1155.0,988.0,602.0,472.0,311.0,2547.0,1060.0,2547.0,11.67,33.1,31.35,34.550000000000004,8633.0,2564.0,306.0,191.0,481.0,423.0,468.0,119.0,6069.0,3305.0,724.0,1438.0,712.0,176.0,255.0,5868.0,1311.0,1610.0,1816.0,1131.0,8234.0,6031.0,1933.0,0.0,30.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,15.0,4.0,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,123.0,158.0,3108.0,3108.0,128.0,1390.0,1718.0,3108.0,1762.0,905.0,857.0,186.0,671.0,1346.0,1064.0,282.0,363.0,343.0,195.0,217.0,190.0,253.0,155.0,217.0,70.0,230.0,286.0,248.0,185.0,67.0,55.0,33.0,34756.5,38077.0,13951.27,47594.21,51652.74,24762.5,24293.5,25730.0,0.0,0.0,0.0,0.0,0.0,1968.0,165.0,307.0,67.0,182.0,259.0,310.0,1823.0,95.0,28.0,831.0,979.5,190800.0,7912.0,1174.0,21.0,0.0,3.0,0.0,18.0,27.0,0.0,15.0,12.0,0.0,155.0,0.0,0.0,29.0,0.0,57.0,14.0,957.0,957.0,31.0,902.0,24.0,0.0,27.3,25.1
Elyria Swansea,6676.0,5534.0,827.0,253.0,24.0,10.0,0.0,0.0,28.0,82.89,12.39,3.79,0.36,0.15,0.0,0.0,0.42,3515.0,3161.0,694.0,726.0,604.0,354.0,1420.0,1199.0,997.0,2187.0,1033.0,750.0,298.0,154.0,181.0,2378.0,409.0,2378.0,6.13,27.0,26.6,27.5,6223.0,2164.0,212.0,135.0,472.0,485.0,233.0,45.0,4059.0,2420.0,597.0,1069.0,405.0,175.0,174.0,3571.0,1610.0,1014.0,592.0,355.0,5982.0,1681.0,4284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1736.0,1736.0,165.0,785.0,951.0,1736.0,1377.0,837.0,540.0,213.0,327.0,359.0,277.0,82.0,113.0,115.0,135.0,137.0,153.0,123.0,115.0,108.0,127.0,202.0,99.0,189.0,79.0,14.0,10.0,17.0,39433.0,39888.0,11080.74,46844.3,47152.07,22650.0,23862.0,21149.0,0.0,0.0,0.0,0.0,0.0,1952.0,0.0,67.0,68.0,63.0,197.0,133.0,505.0,215.0,653.0,767.0,904.0,131000.0,4403.0,2249.0,17.0,7.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2256.0,2256.0,0.0,2256.0,0.0,0.0,31.2,27.2
