BFN,BUS_PROF_NAME,FULL_ADDRESS,LICENSES,LIC_STATUS,ISSUE_DATE,END_DATE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIP,COUNCIL_DIST,POLICE_DIST,CENSUS_TRACT,NEIGHBORHOOD,ZONE_DISTRICT,X_COORD,Y_COORD
2012-BFN-1062925,BAR RED,437 W COLFAX AVE,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-06-15 00:00:00,2022-01-29 00:00:00,182208.0,437 W Colfax Ave,None,Denver,CO,80204,9,6,01702,CBD,D-C,3142260.0,1694903.0
2001-BFN-57494,SAFEWAY STORE #1463,2150 S DOWNING ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-04-12 16:03:49,2022-01-13 00:00:00,112091.0,2150 S Downing St,None,Denver,CO,80210-4528,6,3,03004,University,PUD-G,3148468.0,1672100.0
2018-BFN-0008645,CHICKEN REBEL,3618 N TEJON ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-03-22 02:20:15,2022-02-18 00:00:00,26939859.0,3618 N Tejon St,None,Denver,CO,None,1,1,01102,Highland,U-MX-3,3137459.0,1704717.0
2018-BFN-0000932,IMPROPER CITY,3201 WALNUT ST,LIQUOR - TAVERN AND CABARET,LICENSE ISSUED - ACTIVE,2021-07-29 15:17:13,2022-07-11 00:00:00,355681.0,3201 Walnut St,None,Denver,CO,80205,9,2,01600,Five Points,C-MX-5,3146568.0,1704110.0
2010-BFN-1050894,PARK BURGER HIGHLANDS,2643 W 32ND AVE,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-05-16 18:55:32,2022-04-18 00:00:00,348920.0,2643 W 32nd Ave,None,Denver,CO,80211-3380,1,1,00402,Highland,U-MS-2,3134961.0,1702869.0
2019-BFN-0011554,7-ELEVEN STORE 22358A,1438 ARAPAHOE ST,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2021-02-22 14:17:43,2022-03-08 00:00:00,260781.0,1438 Arapahoe St,None,Denver,CO,80202,9,6,01702,CBD,D-TD,3141356.0,1697157.0
2002-BFN-66473,EL CHAPULTEPEC,1962 MARKET ST,LIQUOR - TAVERN AND CABARET,DELINQUENT,2021-06-17 03:00:43,2021-06-16 00:00:00,None,None,None,None,None,80202,9,6,01701,Union Station,D-LD,3142417.0,1699692.0
2001-BFN-86130,TWO FISTED MARIO'S PIZZA,1626 MARKET ST,LIQUOR - HOTEL AND RESTAURANT,LICENSE ISSUED - ACTIVE,2021-01-05 14:42:02,2021-12-19 00:00:00,261466.0,1626 Market St,None,Denver,CO,80202,9,6,01701,Union Station,D-LD,3141253.0,1698522.0
2004-BFN-1010548,DOWNTOWN AQUARIUM,700 WATER ST,LIQUOR - HOTEL AND RESTAURANT AND CABARET,LICENSE ISSUED - ACTIVE,2021-01-29 09:22:25,2022-01-26 00:00:00,54114.0,700 Water St,None,Denver,CO,80211,1,1,00600,Jefferson Park,OS-A,3137194.0,1699331.0
2011-BFN-1057023,7-ELEVEN STORE 24116A,1585 S BROADWAY ,LIQUOR - FERMENTED MALT BEVERAGE,LICENSE ISSUED - ACTIVE,2020-11-05 08:38:26,2021-12-18 00:00:00,104800.0,1585 S Broadway,None,Denver,CO,80210,7,3,01403,Overland,U-MS-3,3144115.0,1675821.0
