"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"2016100418","2/16/2016 12:00:00 AM","2/16/2016 12:00:00 AM","2/16/2016 12:00:00 AM","983 S VINE ST                                     ","3151044.00","1679826.00","3","312","2204    ","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","","","",""
"2016103385","2/18/2016 12:00:00 AM","2/18/2016 12:00:00 AM","2/18/2016 12:00:00 AM","2070 S HURON ST                                   ","3141623.00","1672592.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016103421","2/18/2016 12:00:00 AM","2/18/2016 12:00:00 AM","2/18/2016 12:00:00 AM","1640 E EVANS AVE                                  ","3149785.00","1672387.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016105080","2/18/2016 12:00:00 AM","2/18/2016 12:00:00 AM","2/18/2016 12:00:00 AM","333 W ELLSWORTH AVE                               ","3142601.00","1686463.00","3","311","1316","THREATS TO INJURE","All Other Crimes","NON-INDUSTRY","","","",""
"2016108561","2/20/2016 12:00:00 AM","2/20/2016 12:00:00 AM","2/20/2016 12:00:00 AM","1568 S FEDERAL BLVD                               ","3133861.00","1675958.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016110720","2/21/2016 12:00:00 AM","2/21/2016 12:00:00 AM","2/21/2016 12:00:00 AM","7739 E COLFAX AVE                                 ","3169284.00","1695129.00","2","223","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016114594","2/23/2016 12:00:00 AM","2/23/2016 12:00:00 AM","2/23/2016 12:00:00 AM","3450 N BRIGHTON BLVD                              ","3146505.00","1705791.00","2","211","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016118681","2/24/2016 12:00:00 AM","2/24/2016 12:00:00 AM","2/24/2016 12:00:00 AM","6853 LEETSDALE DR                                 ","3166373.00","1680902.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016124043","2/27/2016 12:00:00 AM","2/27/2016 12:00:00 AM","2/27/2016 12:00:00 AM","2121 E 44TH AVE                                   ","3151315.00","1708666.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016126405","2/28/2016 12:00:00 AM","2/28/2016 12:00:00 AM","2/28/2016 12:00:00 AM","1005 N FEDERAL BLVD                               ","3133440.00","1692262.00","1","122","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016128409","2/29/2016 12:00:00 AM","2/29/2016 12:00:00 AM","2/29/2016 12:00:00 AM","6858 E EVANS AVE                                  ","3166312.00","1672406.00","3","323","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016138933","3/4/2016 12:00:00 AM","1/1/1900 12:00:00 AM","3/4/2016 12:00:00 AM","5155 E 46TH AVE                                   ","3160637.00","1709787.00","2","221","3560    ","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","","","",""
"2016141178","3/4/2016 12:00:00 AM","3/5/2016 12:00:00 AM","3/5/2016 12:00:00 AM","777 N CANOSA CT                                   ","3134946.00","1690779.00","1","122","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016141282","3/5/2016 12:00:00 AM","3/5/2016 12:00:00 AM","3/5/2016 12:00:00 AM","3215 W AVONDALE DR                                ","3132760.00","1693847.00","1","122","1208    ","ROBBERY - RESIDENCE","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2016148661","3/8/2016 12:00:00 AM","3/8/2016 12:00:00 AM","3/8/2016 12:00:00 AM","816 S UMATILLA WAY                                ","3137365.00","1680931.00","4","412","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2016157324","3/12/2016 12:00:00 AM","3/12/2016 12:00:00 AM","3/12/2016 12:00:00 AM","4209 N DELAWARE ST                                ","3142594.00","1707402.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016171027","3/18/2016 12:00:00 AM","3/18/2016 12:00:00 AM","3/18/2016 12:00:00 AM","2420 S COLORADO BLVD                              ","3157568.00","1670426.00","3","314","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016175542","3/19/2016 12:00:00 AM","3/19/2016 12:00:00 AM","3/20/2016 12:00:00 AM","4305 N BRIGHTON BLVD                              ","3148956.00","1708556.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016178429","3/21/2016 12:00:00 AM","3/21/2016 12:00:00 AM","3/21/2016 12:00:00 AM","6715 E UNION AVE                                  ","3166642.00","1654270.00","3","324","2204    ","BURGLARY - RESIDENCE NO FORCE","Burglary","NON-INDUSTRY","","","",""
"2016183372","3/24/2016 12:00:00 AM","1/1/1900 12:00:00 AM","3/24/2016 12:00:00 AM","7739 E COLFAX AVE                                 ","3169284.00","1695129.00","2","223","2005    ","ARSON - BUSINESS","All Other Crimes","INDUSTRY","","","",""
"2016186990","3/25/2016 12:00:00 AM","3/25/2016 12:00:00 AM","3/25/2016 12:00:00 AM","3638 N MARION ST                                  ","3148449.00","1704970.00","2","211","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2016191638","3/28/2016 12:00:00 AM","3/28/2016 12:00:00 AM","3/28/2016 12:00:00 AM","4975 N VASQUEZ BLVD                               ","3155551.00","1711955.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016193914","3/29/2016 12:00:00 AM","3/29/2016 12:00:00 AM","3/29/2016 12:00:00 AM","4012 W 38TH AVE                                   ","3129427.00","1705450.00","1","113","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
